date,val,tweet,person,country
2017-01-02,0.25,"China has been taking out massive amounts of money &, wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",Trump,China
2017-01-02,0.25,"China has been taking out massive amounts of money &, wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",Trump,North Korea
2017-01-02,0.125,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,Trump,North Korea
2017-01-03,-0.125,"""""""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""""https://t.co/137nUo03Gl""",Trump,Mexico
2017-01-04,0.257575758,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,Trump,Mexico
2017-01-04,0.139583333,"""The """"Intelligence"""" briefing on so-called """"Russian hacking"""" was delayed until Friday, perhaps more time needed to build a case. Very strange!""",Trump,Russia
2017-01-04,-0.2625,"""Julian Assange said """"a 14 year old could have hacked Podesta"""" - why was DNC so careless? Also said Russians did not give him the info!""",Trump,Russia
2017-01-05,0.085227273,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",Trump,Mexico
2017-01-06,0.08,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",Trump,Mexico
2017-01-06,0,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,Trump,Russia
2017-01-07,0.2,"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",Trump,Russia
2017-01-07,0.0125,"""Having a good relationship with Russia is a good thing, not a bad thing. Only """"stupid"""" people, or fools, would think that it is bad! We.....""",Trump,Russia
2017-01-09,0,"Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &, Fiat C!",Trump,Mexico
2017-01-09,-0.046527778,Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,Trump,Mexico
2017-01-11,0,'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh,Trump,Russia
2017-01-11,0,"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",Trump,Russia
2017-01-11,-0.1425,"""Russia just said the unverified report paid for by political opponents is """"A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."""" Very unfair!""",Trump,Russia
2017-01-11,-0.166666667,"""Intelligence agencies should never have allowed this fake news to """"leak"""" into the public. One last shot at me.Are we living in Nazi Germany?""",Trump,Germany
2017-01-13,-0.208333333,"Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",Trump,Russia
2017-01-16,0.2,""".@FoxNews """"Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."""" Oh really, couldn't do...""",Trump,Russia
2017-01-16,-0.2675,"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",Trump,Russia
